,geo_value,signal,time_value,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size,geo_type,data_source
0,fl,confirmed_7dav_incidence_num,2020-02-20,2021-04-01,406,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-21,2021-04-01,405,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-22,2021-04-01,404,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-23,2021-04-01,403,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-24,2021-04-01,402,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-25,2021-04-01,401,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-26,2021-04-01,400,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-27,2021-04-01,399,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-28,2021-04-01,398,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-02-29,2021-04-01,397,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-01,2021-04-01,396,0,0,0,0.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-02,2021-04-01,395,0,0,0,0.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-03,2021-04-01,394,0,0,0,0.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-04,2021-04-01,393,0,0,0,0.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-05,2021-04-01,392,0,0,0,0.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-06,2021-04-01,391,0,0,0,0.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-07,2021-04-01,390,0,0,0,1.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-08,2021-04-01,389,0,0,0,1.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-09,2021-04-01,388,0,0,0,1.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-10,2021-04-01,387,0,0,0,1.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-11,2021-04-01,386,0,0,0,3.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-12,2021-04-01,385,0,0,0,3.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-13,2021-04-01,384,0,0,0,6.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-14,2021-04-01,383,0,0,0,9.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-15,2021-04-01,382,0,0,0,12.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-16,2021-04-01,381,0,0,0,12.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-17,2021-04-01,380,0,0,0,25.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-18,2021-04-01,379,0,0,0,40.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-19,2021-04-01,378,0,0,0,57.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-20,2021-04-01,377,0,0,0,73.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-21,2021-04-01,376,0,0,0,98.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-22,2021-04-01,375,0,0,0,129.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-23,2021-04-01,374,0,0,0,160.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-24,2021-04-01,373,0,0,0,174.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-25,2021-04-01,372,0,0,0,196.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-26,2021-04-01,371,0,0,0,275.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-27,2021-04-01,370,0,0,0,333.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-28,2021-04-01,369,0,0,0,428.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-29,2021-04-01,368,0,0,0,463.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-30,2021-04-01,367,0,0,0,606.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-03-31,2021-04-01,366,0,0,0,761.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-01,2021-04-01,365,0,0,0,753.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-02,2021-04-01,364,0,0,0,950.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-03,2021-04-01,363,0,0,0,1052.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-04,2021-04-01,362,0,0,0,1110.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-05,2021-04-01,361,0,0,0,1157.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-06,2021-04-01,360,0,0,0,1121.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-07,2021-04-01,359,0,0,0,1114.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-08,2021-04-01,358,0,0,0,1214.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-09,2021-04-01,357,0,0,0,1050.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-10,2021-04-01,356,0,0,0,1037.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-11,2021-04-01,355,0,0,0,993.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-12,2021-04-01,354,0,0,0,1077.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-13,2021-04-01,353,0,0,0,1099.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-14,2021-04-01,352,0,0,0,1011.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-15,2021-04-01,351,0,0,0,1007.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-16,2021-04-01,350,0,0,0,997.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-17,2021-04-01,349,0,0,0,1032.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-18,2021-04-01,348,0,0,0,999.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-19,2021-04-01,347,0,0,0,917.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-20,2021-04-01,346,0,0,0,862.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-21,2021-04-01,345,0,0,0,891.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-22,2021-04-01,344,0,0,0,828.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-23,2021-04-01,343,0,0,0,900.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-24,2021-04-01,342,0,0,0,824.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-25,2021-04-01,341,0,0,0,763.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-26,2021-04-01,340,0,0,0,745.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-27,2021-04-01,339,0,0,0,725.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-28,2021-04-01,338,0,0,0,711.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-29,2021-04-01,337,0,0,0,697.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-04-30,2021-04-01,336,0,0,0,577.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-01,2021-04-01,335,0,0,0,599.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-02,2021-04-01,334,0,0,0,660.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-03,2021-04-01,333,0,0,0,649.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-04,2021-04-01,332,0,0,0,679.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-05,2021-04-01,331,0,0,0,655.8571429,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-06,2021-04-01,330,0,0,0,687.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-07,2021-04-01,329,0,0,0,734.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-08,2021-04-01,328,0,0,0,638.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-09,2021-04-01,327,0,0,0,648.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-10,2021-04-01,326,0,0,0,645.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-11,2021-04-01,325,0,0,0,583.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-12,2021-04-01,324,0,0,0,640.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-13,2021-04-01,323,0,0,0,628.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-14,2021-04-01,322,0,0,0,626.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-15,2021-04-01,321,0,0,0,705.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-16,2021-04-01,320,0,0,0,687.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-17,2021-04-01,319,0,0,0,713.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-18,2021-04-01,318,0,0,0,780.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-19,2021-04-01,317,0,0,0,717.2857143,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-20,2021-04-01,316,0,0,0,724.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-21,2021-04-01,315,0,0,0,780.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-22,2021-04-01,314,0,0,0,759.0,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-23,2021-04-01,313,0,0,0,759.4285714,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-24,2021-04-01,312,0,0,0,754.1428571,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-25,2021-04-01,311,0,0,0,757.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-26,2021-04-01,310,0,0,0,758.7142857,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-27,2021-04-01,309,0,0,0,737.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-28,2021-04-01,308,0,0,0,658.5714286,,,state,jhu-csse
0,fl,confirmed_7dav_incidence_num,2020-05-29,2021-04-01,307,0,0,0,720.8571429,,,state,jhu-csse
